movieCd,title,openDt,ott_release_dt,ott_release_platform,budget,genre,watch_grade_nm,show_tm,is_original_ip,is_followup,nation_nm,distributor_nm,director_nm,actor1_nm,actor2_nm,actor3_nm,Unnamed: 17
20231415,소풍,20240207,20240521.0,Netflix,1500000000.0,드라마,12,114,0,0.0,한국,(주)로케트필름,김용균,나문희,김영옥,박근형,
20233261,청설,20241106,20250303.0,Coupang play,2500000000.0,드라마,0,109,1,0.0,한국,(주)무비락,조선호,홍경,노윤서,김민주,
20247430,퍼스트레이디,20241212,20250305.0,Wavve,100000000.0,다큐멘터리,12,105,0,0.0,한국,서울의소리,아에몽,,,,
20247574,아메바 소녀들과 학교괴담: 개교기념일,20241106,20250225.0,Netflix,1000000000.0,코미디,15,90,0,0.0,한국,(주)26컴퍼니,김민하,김도연,손주연,강신희,
20233057,아마존 활명수,20241030,20250130.0,Netflix,4000000000.0,코미디,12,113,0,0.0,한국,(주)로드픽쳐스,김창주,류승룡,진선규,이고르 페드로소,
20240925,"안녕, 할부지",20240904,20241013.0,Netflix,100000000.0,다큐멘터리,0,95,0,0.0,한국,(주)에이컴즈,토마스 고,푸바오,아이바오,러바오,
20225184,히든페이스,20241120,20250110.0,Coupang play,3000000000.0,스릴러,19,115,1,0.0,한국,(주)스튜디오앤뉴,김대우,송승헌,조여정,박지현,
20235994,원정빌라,20241204,20251231.0,Wavve,200000000.0,공포(호러),15,86,0,0.0,한국,(주)케이드래곤,김선국,이현우,문정희,방민아,
20236319,하와이 연가,20241030,20250203.0,Watcha,200000000.0,드라마,0,62,0,0.0,한국,나우 프로덕션,이진영,리처드 용재 오닐,김지연,케올라 비머,
20224666,파일럿,20240731,20241128.0,Netfliex,6000000000.0,코미디,12,111,1,0.0,한국,쇼트케이크(주),김한결,조정석,이주명,한선화,
20232949,대도시의 사랑법,20241001,20241221.0,Tving,5250000000.0,드라마,15,118,1,0.0,한국,(주)쇼박스,이언희,김고은,노상현,방정민,
20226545,한국이 싫어서,20240828,20241128.0,Netfliex,400000000.0,드라마,12,107,1,0.0,한국,(주)모쿠슈라,장건재,고아성,김우겸,주종혁,
20203557,그녀가 죽었다,20240515,20241212.0,Netfliex,4000000000.0,미스터리,15,103,0,0.0,한국,엔진 필름,김세휘,변요한,신혜선,이엘,
20242794,임영웅│아임 히어로 더 스타디움,20240828,20250618.0,Netfliex,250000000.0,공연,0,108,0,0.0,한국,(주)씨제이이엔엠,조우영,임영웅,,,
20229365,필사의 추격,20240821,20240910.0,Watcha,6000000000.0,코미디,15,109,0,0.0,한국,(주)콘텐츠지,김재훈,박성웅,곽시양,윤경호,
20247074,건국전쟁,20240201,20241016.0,Tving,250000000.0,다큐멘터리,12,108,0,0.0,한국,다큐스토리,김덕영,,,,
20225969,늘봄가든,20240821,20241030.0,Wavve,3500000000.0,공포(호러),15,90,1,0.0,한국,(주)바이어스이엔티,구태진,조윤희,김주령,이지오,
20233038,리볼버,20240807,20250115.0,Coupang play,8000000000.0,범죄,15,114,0,0.0,한국,(주)사나이픽처스,오승욱,전도연,지창욱,임지연,
20240479,타로,20240614,20241010.0,Netflix,10400000000.0,공포,19,94,1,0.0,한국,영화사 우상,최병길길,조여정,김진영,고규필,
20191143,원더랜드,20240605,20240815.0,Netflix,10000000000.0,드라마,12,113,0,0.0,한국,(주)영화사봄,김태용,탕웨이,배수지,박보검,
20234675,파묘,20240222,20240422.0,Netflix,14000000000.0,공포,15,134,0,0.0,한국,(주)쇼박스,장재현,최민식,김고은,유해진,
20235253,외계+인 2부,20240110,20250111.0,Netflix,37000000000.0,판타지,12,122,0,1.0,한국,(주)케이퍼필름,최동훈,류준열,김태리,김우빈,
20228797,범죄도시4,20240424,20240923.0,Disney+,15300000000.0,범죄,15,109,0,1.0,한국,주식회사 빅펀치픽쳐스,허명행,김무열,박지환,이동휘,
20235353,길위에 김대중,20240110,20240320.0,Wavve,430000000.0,다큐멘터리,12,126,0,0.0,한국,(주)명필름,민환기,김대중,김도영,김재록,
20236230,씬,20240403,20240621.0,Neflix,1200000000.0,공포,15,103,1,0.0,한국,(주)도어이앤엠,한동석,김윤혜,송이재,박지훈,
20212668,도그데이즈,20240207,20250110.0,Netflix,8200000000.0,드라마,12,120,1,0.0,한국,(주)씨제이이엔엠,김덕민,윤여정,유해진,김윤진,
20206946,시민덕희,20240124,20240523.0,Netflix,6500000000.0,액션,15,114,0,0.0,한국,(주)씨제스스튜디오,박영주,라미란,공명,염혜란,
20211477,데드맨,20240207,20240411.0,Wavve,7500000000.0,범죄,15,108,0,0.0,한국,(주)팔레트픽처스,하준원,조진웅,김희애,이수경,

