movieCd,title,openDt,nation,genre,director,company,budgets
20231415,소풍,20240207,한국,드라마,김용균,(주)로케트필름,1500000000
20233261,청설,20241106,한국,드라마,조선호,(주)무비락,2500000000
20247430,퍼스트레이디,20241212,한국,다큐멘터리,,서울의소리,100000000
20247574,아메바 소녀들과 학교괴담: 개교기념일,20241106,한국,코미디,김민하,(주)26컴퍼니,1000000000
20233057,아마존 활명수,20241030,한국,코미디,김창주,(주)로드픽쳐스,4000000000
20241180,"괜찮아, 앨리스",20241113,한국,다큐멘터리,양지혜,오마이뉴스,100000000
20236228,오후 네시,20241023,한국,드라마,송정우,(주)에이치에스이디,1000000000
20246939,정동원 성탄총동원 더 무비,20241218,한국,공연,나상인,(주)영화사 그램,500000000
20240925,"안녕, 할부지",20240904,한국,다큐멘터리,토마스 고,(주)에이컴즈,100000000
20244546,"알엠: 라이트 피플, 롱 플레이스",20241205,한국,다큐멘터리,,(주)하이브,100000000
20225184,히든페이스,20241120,한국,스릴러,김대우,(주)스튜디오앤뉴,3000000000
20245399,4분 44초,20241101,한국,공포(호러),박종균,(주)영화사 궁,1000000000
20246609,"플레이브 팬 콘서트 ‘헬로, 아스테룸!’ 앙코르 인 시네마",20241204,한국,공연,,씨지브이 아이스콘,100000000
20247347,투모로우바이투게더 : 하이퍼포커스 인 시네마,20241204,한국,공연,김경국,씨제이포디플렉스 주식회사,100000000
20235994,원정빌라,20241204,한국,공포(호러),김선국,(주)케이드래곤,200000000
20245671,백현: 론스달라이트 닷 인 시네마,20241127,한국,공연,김하민,씨제이포디플렉스 주식회사,100000000
20239574,세상 참 예쁜 오드리,20241024,한국,가족,이영국,주식회사 비씨엠,
20227979,보통의 가족,20241016,한국,드라마,허진호,(주)하이브미디어코프,
20245121,데드라인,20241106,한국,드라마,권봉근,제이티비씨(주),
20236319,하와이 연가,20241030,한국,드라마,이진영,나우 프로덕션,200000000
20185249,더러운 돈에 손대지 마라,20241017,한국,범죄,김민수,리양필름(주),
20224666,파일럿,20240731,한국,코미디,김한결,쇼트케이크(주),6000000000
20232949,대도시의 사랑법,20241001,한국,드라마,이언희,(주)쇼박스,5250000000
20242495,브레드이발소: 빵스타의 탄생,20240914,한국,애니메이션,정지환,주식회사 브레드이발소,
20244801,"하이라이트: 라이츠 고 온, 어게인 인 시네마",20241016,한국,공연,오윤동,씨제이포디플렉스 주식회사,
20248129,엘리자벳: 더 뮤지컬 라이브,20241016,한국,공연,박재석,(주)위즈온센,
20244944,아이브 더 퍼스트 월드투어 인 시네마,20241016,한국,공연,조윤수,(주)영화사 그램,
20226545,한국이 싫어서,20240828,한국,드라마,장건재,(주)모쿠슈라,400000000
20203557,그녀가 죽었다,20240515,한국,미스터리,김세휘,엔진 필름,4000000000
20242794,임영웅│아임 히어로 더 스타디움,20240828,한국,공연,조우영,(주)씨제이이엔엠,250000000
20243721,정국: 아이 엠 스틸,20240918,한국,공연,박준수,(주)하이브,
20229365,필사의 추격,20240821,한국,코미디,김재훈,(주)콘텐츠지,6000000000
20247074,건국전쟁,20240201,한국,다큐멘터리,김덕영,다큐스토리,250000000
20208911,탈출: 프로젝트 사일런스,20240712,한국,스릴러,김태곤,씨제이이엔엠 스튜디오스 주식회사,
20225969,늘봄가든,20240821,한국,공포(호러),구태진,(주)바이어스이엔티,3500000000
20233038,리볼버,20240807,한국,범죄,오승욱,(주)사나이픽처스,8000000000
20242473,세븐틴 투어 ‘팔로우’ 어게인 투 시네마,20240814,한국,공연,오윤동,씨제이포디플렉스 주식회사,
20240984,박정희: 경제대국을 꿈꾼 남자,20240710,한국,공연,손현우,(주)파이브데이,
20248465,하이재킹,20240621,한국,범죄,김성한,(주)퍼펙트스톰필름,
20212336,수카바티: 극락축구단,20240731,한국,다큐멘터리,선호빈,영화연구소,
20233271,땅에 쓰는 시,20240417,한국,다큐멘터리,정다운,기린그림,
20242098,헬로카봇 올스타 스페셜,20240731,한국,애니메이션,이슬기,(주)초이락컨텐츠컴퍼니,
20241591,블랙핑크 월드투어 [본 핑크] 인 시네마,20240731,한국,공연,민근,씨제이포디플렉스 주식회사,
20242349,이준호 콘서트 : 다시 만나는 날,20240724,한국,공연,,(주)제이와이피엔터테인먼트,
20241984,2023 영탁 단독 콘서트 : 탁쇼2,20240718,한국,공연,,씨제이 씨지브이(CJ CGV)(주),
20240479,타로,20240614,한국,,,영화사 우상,10400000000
20249490,목화솜 피는 날,20240522,한국,,신경수,연분홍치마,
20231041,댓글부대,20240327,한국,,안국진,(주)영화적순간,
20240397,김준수 콘서트 무비 챕터 원 : 레크리에이션,20240605,한국,,조윤수,(주)영화사 그램,
20191143,원더랜드,20240605,한국,,김태용,(주)영화사봄,10000000000
20240162,빼꼼: 미션 투 마스,20240601,한국,,,,
20234675,파묘,20240222,한국,,장재현,(주)쇼박스,14000000000
20235253,외계+인 2부,20240110,한국,,최동훈,(주)케이퍼필름,37000000000
20247437,브레드이발소: 셀럽 인 베이커리타운,20240301,한국,,정지환,주식회사 브레드이발소,
20228797,범죄도시4,20240424,한국,,허명행,주식회사 빅펀치픽쳐스,15300000000
20235353,길위에 김대중,20240110,한국,,민환기,(주)명필름,430000000
20247038,DMZ 동물 특공대,20240214,한국,,홍인표,자루 스튜디오,
20219375,1980,20240327,한국,,강승용,히스토리 디앤피,
20249534,분노의 강,20240529,한국,,윤철형,뉴크마그(주),
20247355,여행자의 필요,20240424,한국,,홍상수,(주)영화제작전원사 ,
20236230,씬,20240403,한국,,한동석,(주)도어이앤엠,1200000000
20212668,도그데이즈,20240207,한국,,김덕민,(주)씨제이이엔엠,8200000000
20248586,슈가│어거스트 디 투어 ‘디-데이’ 더 무비,20240410,한국,,박준수,(주)하이브,
20235145,기적의 시작,20240222,한국,,권순도,퓨어웨이픽쳐스,
20201502,유미의 세포들 더 무비,20240403,한국,,,(주)로커스,
20206946,시민덕희,20240124,한국,,박영주,(주)씨제스스튜디오,6500000000
20248393,이승윤 콘서트 도킹 : 리프트오프,20240322,한국,,,마름모,
20236568,목스박,20240320,한국,,고훈,스튜디오설 ,
20211477,데드맨,20240207,한국,,하준원,(주)팔레트픽처스,7500000000
20247473,아이엠 티라노,20240301,한국,,,,
20246966,아기상어 극장판: 사이렌 스톤의 비밀,20240207,한국,,,,
20247158,에스파: 마이 퍼스트 페이지,20240214,한국,,김지선,(주)에스엠엔터테인먼트,
20226638,아네모네,20240207,한국,,정하용,주식회사 시네마천국,
20236907,지오디 마스터피스 더 무비,20240110,한국,,손석,,
